Place_TractID,SiteId,PM2.5_Exceptional,PM2.5_ExceedCount,PM2.5_Max,Ozone_Exceptional,Ozone_ExceedCount,Ozone_Max
0669070-06083001402,400.0,0,13.0,231.6,0.0,0.0,0.07
0669070-06083003007,400.0,0,13.0,231.6,0.0,0.0,0.07
0669088-06037920032,281.0,0,0.0,26.6,0.0,43.0,0.087
0669088-06037920043,274.0,0,0.0,19.2,0.0,36.0,0.1
0669196-06083002013,401.0,0,0.0,19.9,0.0,0.0,0.063
0675000-06077002402,383.0,0,21.0,51.5,0.0,2.0,0.079
0675000-06077003700,383.0,0,21.0,51.5,0.0,2.0,0.079
0675000-06077003803,383.0,0,21.0,51.5,0.0,2.0,0.079
0677000-06085508101,417.0,0,6.0,49.7,0.0,4.0,0.098
0678120-06065043247,366.0,0,1.0,38.2,0.0,112.0,0.136
0678120-06065050500,366.0,0,1.0,38.2,0.0,112.0,0.136
0680812-06099003603,441.0,0,29.0,72.3,0.0,31.0,0.099
0680854-06059075403,308.0,0,9.0,56.2,0.0,4.0,0.076
0680854-06059075603,308.0,0,9.0,56.2,0.0,4.0,0.076
0681666-06095252104,431.0,0,9.0,98.8,0.0,2.0,0.088
0682590-06071009117,356.0,0,0.0,29.3,0.0,17.0,0.081
0682590-06071009119,356.0,0,0.0,29.3,0.0,17.0,0.081
0682590-06071010004,356.0,0,0.0,29.3,0.0,17.0,0.081
0682590-06071012101,356.0,0,0.0,29.3,0.0,17.0,0.081
0682996-06073019208,376.0,0,0.0,27.4,0.0,6.0,0.083
0682996-06073019805,376.0,0,0.0,27.4,0.0,6.0,0.083
0682996-06073019903,376.0,0,0.0,27.4,0.0,6.0,0.083
0682996-06073020019,376.0,0,0.0,27.4,0.0,6.0,0.083
0684200-06037403500,274.0,0,0.0,19.2,0.0,36.0,0.1
0684200-06037403600,274.0,0,0.0,19.2,0.0,36.0,0.1
0684200-06037405400,274.0,0,0.0,19.2,0.0,36.0,0.1
0684200-06037406901,274.0,0,0.0,19.2,0.0,36.0,0.1
0684200-06037406902,274.0,0,0.0,19.2,0.0,36.0,0.1
0684200-06037408141,308.0,0,9.0,56.2,0.0,4.0,0.076
0684550-06059088901,308.0,0,9.0,56.2,0.0,4.0,0.076
0684550-06059099203,308.0,0,9.0,56.2,0.0,4.0,0.076
0685292-06037501002,267.0,0,5.0,66.7,0.0,5.0,0.076
0803455-08059009843,483.0,0,1.0,41.2,0.0,0.0,0.069
