tract,HPI
48029191701,348.96
48029191808,144.92
48029191809,194.63
48029980100,198.94
48041000202,313.05
48041002010,282.99
48041002011,282.99
48041002014,295.70
48061012200,171.79
48061012505,177.66
48061012506,177.66
48061012609,163.67
48061013206,222.46
48061013207,222.46
48085030524,246.72
48085031804,663.95
48085031900,663.95
48085032011,475.30
48113007826,574.16
48113012302,571.46
48113012500,571.46
48113013104,902.14
48113014002,560.37
48113014134,306.77
48113015900,244.78
48113016301,244.78
48113016523,178.56
48113016703,229.57
48113017003,212.99
48113017202,285.85
48113017808,395.67
48113017900,571.46
48113018001,571.46
48113018129,395.67
48113018130,395.67
48113018403,358.41
48113018802,447.40
48113019900,463.23
48113020000,499.47
48121020205,243.71
48121020506,221.13
48121021409,208.29
48121021522,258.95
48121021625,449.59
48121021627,449.59
48121021629,449.59
48121021632,439.22
48121021637,439.22
48121021638,439.22
48135000300,409.86
48141001203,251.29
48141001700,231.84
48157670700,361.03
48157670800,287.85
48157671300,224.08
48157671800,224.08
48157672400,194.71
48157672900,217.59
48157673002,278.40
48157673003,278.40
48157673102,259.66
48157674502,287.85
48157674601,322.70
48157674602,322.70
48167720800,267.95
48183010302,384.70
48201222300,326.80
48201222401,211.19
48201231700,290.55
48201232403,.
48201232900,227.81
48201233101,227.81
48201233103,227.81
48201240400,203.64
48201240701,.
48201240702,.
48201241300,285.58
48201250100,213.80
48201250402,252.81
48201250600,213.80
48201250701,252.81
48201250702,252.81
48201250800,252.81
48201251600,284.62
48201251901,291.66
48201252200,.
48201252500,344.69
48201253400,328.05
48201324000,263.37
48201330800,361.03
48201341301,213.93
48201350100,357.62
48201350601,350.86
48201412800,764.19
48201452600,.
48201454302,.
48201454400,666.68
48201454501,278.40
48201454502,278.40
48201454700,278.40
48201455200,278.40
48201455300,259.66
48201532501,345.97
48201532900,335.94
48201534001,335.94
48201534002,335.94
48201534003,335.94
48201540100,495.23
48201540501,267.34
48201540602,267.34
48201541001,238.35
48201542400,.
48201543002,283.73
48201550301,.
