TractFIPS,tract,usps_zip_pref_state,usps_zip_pref_city,StateAbbr,PlaceName
12095015402,12095015402.0,FL,MAITLAND,FL,Orlando
12095015402,12095015402.0,FL,WINTER PARK,FL,Orlando
12095015402,12095015402.0,FL,ORLANDO,FL,Orlando
12095015300,12095015300.0,FL,WINTER PARK,FL,Orlando
12095015300,12095015300.0,FL,ORLANDO,FL,Orlando
12095015300,12095015300.0,FL,ORLANDO,FL,Orlando
12095012500,12095012500.0,FL,ORLANDO,FL,Orlando
12095012500,12095012500.0,FL,ORLANDO,FL,Orlando
12095014400,12095014400.0,FL,ORLANDO,FL,Orlando
12095014400,12095014400.0,FL,ORLANDO,FL,Orlando
12095014400,12095014400.0,FL,ORLANDO,FL,Orlando
12095014000,12095014000.0,FL,ORLANDO,FL,Orlando
12095014000,12095014000.0,FL,ORLANDO,FL,Orlando
12095014000,12095014000.0,FL,ORLANDO,FL,Orlando
12095014000,12095014000.0,FL,ORLANDO,FL,Orlando
12095013803,12095013803.0,FL,ORLANDO,FL,Orlando
12095013803,12095013803.0,FL,ORLANDO,FL,Orlando
12095013402,12095013402.0,FL,ORLANDO,FL,Orlando
12095013402,12095013402.0,FL,ORLANDO,FL,Orlando
12095013201,12095013201.0,FL,ORLANDO,FL,Orlando
12095012000,12095012000.0,FL,ORLANDO,FL,Orlando
12095013607,12095013607.0,FL,ORLANDO,FL,Orlando
12095013607,12095013607.0,FL,ORLANDO,FL,Orlando
12095014813,12095014813.0,FL,ORLANDO,FL,Orlando
12095014811,12095014811.0,FL,ORLANDO,FL,Orlando
12095013508,12095013508.0,FL,ORLANDO,FL,Orlando
12095016709,12095016709.0,FL,ORLANDO,FL,Orlando
12095016709,12095016709.0,FL,ORLANDO,FL,Orlando
12095013511,12095013511.0,FL,ORLANDO,FL,Orlando
12095016732,12095016732.0,FL,ORLANDO,FL,Orlando
12095016732,12095016732.0,FL,ORLANDO,FL,Orlando
12095016732,12095016732.0,FL,ORLANDO,FL,Orlando
12009065021,12009065021.0,FL,MELBOURNE,FL,Melbourne
12009065021,12009065021.0,FL,PALM BAY,FL,Melbourne
12009065236,12009065236.0,FL,PALM BAY,FL,Palm Bay
12009065236,12009065236.0,FL,GRANT,FL,Palm Bay
12009065236,12009065236.0,FL,SEBASTIAN,FL,Palm Bay
12009065231,12009065231.0,FL,PALM BAY,FL,Palm Bay
12009065231,12009065231.0,FL,GRANT,FL,Palm Bay
12009065231,12009065231.0,FL,MALABAR,FL,Palm Bay
12009064128,12009064128.0,FL,MELBOURNE,FL,Melbourne
12009064128,12009064128.0,FL,MELBOURNE,FL,Melbourne
12011110404,12011110404.0,FL,HOLLYWOOD,FL,Pembroke Pines
12011070401,12011070401.0,FL,HOLLYWOOD,FL,Davie
12011070401,12011070401.0,FL,FORT LAUDERDALE,FL,Davie
12011070401,12011070401.0,FL,FORT LAUDERDALE,FL,Davie
12011110327,12011110327.0,FL,HOLLYWOOD,FL,Davie
12011110327,12011110327.0,FL,PEMBROKE PINES,FL,Davie
12011110327,12011110327.0,FL,FORT LAUDERDALE,FL,Davie
12011110327,12011110327.0,FL,FORT LAUDERDALE,FL,Davie
12086000414,12086000414.0,FL,OPA LOCKA,FL,Miami Gardens
12086000414,12086000414.0,FL,MIAMI,FL,Miami Gardens
12086000414,12086000414.0,FL,MIAMI,FL,Miami Gardens
12086000414,12086000414.0,FL,MIAMI,FL,Miami Gardens
12011020205,12011020205.0,FL,POMPANO BEACH,FL,Coral Springs
12011020205,12011020205.0,FL,POMPANO BEACH,FL,Coral Springs
12086981000,12086981000.0,FL,MIAMI BEACH,FL,Miami Beach
12086001703,12086001703.0,FL,MIAMI,FL,Miami
12086001801,12086001801.0,FL,MIAMI,FL,Miami
12086001801,12086001801.0,FL,MIAMI,FL,Miami
12086001004,12086001004.0,FL,MIAMI,FL,Miami
12086001004,12086001004.0,FL,MIAMI,FL,Miami
12086001002,12086001002.0,FL,MIAMI,FL,Miami
12086001002,12086001002.0,FL,MIAMI,FL,Miami
12086001502,12086001502.0,FL,MIAMI,FL,Miami
12011050207,12011050207.0,FL,FORT LAUDERDALE,FL,Fort Lauderdale
12011050207,12011050207.0,FL,FORT LAUDERDALE,FL,Fort Lauderdale
12011050208,12011050208.0,FL,FORT LAUDERDALE,FL,Fort Lauderdale
12011050208,12011050208.0,FL,FORT LAUDERDALE,FL,Fort Lauderdale
12011050308,12011050308.0,FL,FORT LAUDERDALE,FL,Fort Lauderdale
12011050308,12011050308.0,FL,FORT LAUDERDALE,FL,Fort Lauderdale
12011041100,12011041100.0,FL,FORT LAUDERDALE,FL,Fort Lauderdale
