 ZIP Code,Year,AnnualChange (%),HPI,HPI with 1990 base,HPI with 2000 base,tract,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
77094,2017,.,.,.,.,48201454501,HOUSTON,TX,0.770475228,0.166666667,0.388059701,0.677331518
77095,2017,7.53,219.46,188.05,155.29,48201541001,HOUSTON,TX,0.20485101,0.19778481,0.18579235,0.204389065
77095,2017,7.53,219.46,188.05,155.29,48201540602,HOUSTON,TX,3.93E-05,0.030063291,0.027322404,0.0016366
77336,2017,10.85,284.62,.,211.59,48201251600,HUFFMAN,TX,0.379674017,0.03030303,0.260869565,0.361100349
77338,2017,4.36,203.64,248.42,165.88,48201250100,HUMBLE,TX,0,0.027334852,0.02245509,0.004286137
77338,2017,4.36,203.64,248.42,165.88,48201240400,HUMBLE,TX,0.027653566,0.011009871,0.010479042,0.024928564
77338,2017,4.36,203.64,248.42,165.88,48201980100,HUMBLE,TX,0.015121205,0.014047077,0.00748503,0.014730515
77338,2017,4.36,203.64,248.42,165.88,48201250701,HUMBLE,TX,0.029242175,0.083143508,0.055389222,0.037097251
77338,2017,4.36,203.64,248.42,165.88,48201250600,HUMBLE,TX,0.213520828,0.407365224,0.682634731,0.254113706
77346,2017,4.12,252.81,186.33,146.05,48201250800,HUMBLE,TX,0.110670808,0.074612403,0.037313433,0.109058505
77346,2017,4.12,252.81,186.33,146.05,48201250402,HUMBLE,TX,0.380457677,0.261627907,0.380597015,0.37625527
77346,2017,4.12,252.81,186.33,146.05,48201250701,HUMBLE,TX,0.058762629,0.061046512,0.059701493,0.058847723
77346,2017,4.12,252.81,186.33,146.05,48201250702,HUMBLE,TX,0.062653957,0.127906977,0.089552239,0.065085513
77357,2017,8.76,271.08,.,189.44,48201251600,NEW CANEY,TX,0.018349993,0.005338078,0,0.017678381
77373,2017,4.04,285.58,239.37,160.73,48201241300,SPRING,TX,0.197311549,0.661527166,0.321243523,0.223887246
